dataset,filename,label,folder
CATI_FAS,004979,0,spoof
CATI_FAS,013175,0,spoof
CATI_FAS,005989,0,spoof
CATI_FAS,015487,0,spoof
CATI_FAS,006831,0,spoof
CATI_FAS,006762,0,spoof
CATI_FAS,009997,0,spoof
CATI_FAS,007207,0,spoof
CATI_FAS,012806,0,spoof
CATI_FAS,008495,0,spoof
CATI_FAS,012019,0,spoof
CATI_FAS,016186,0,spoof
CATI_FAS,011065,0,spoof
CATI_FAS,008012,0,spoof
CATI_FAS,002846,0,spoof
CATI_FAS,002885,0,spoof
CATI_FAS,011569,0,spoof
CATI_FAS,010801,0,spoof
CATI_FAS,000972,1,live
CATI_FAS,014370,0,spoof
CATI_FAS,001789,1,live
CATI_FAS,001774,1,live
CATI_FAS,001750,1,live
CATI_FAS,003659,0,spoof
CATI_FAS,013066,0,spoof
CATI_FAS,001225,1,live
CATI_FAS,001405,1,live
CATI_FAS,015538,0,spoof
CATI_FAS,012695,0,spoof
CATI_FAS,008636,0,spoof
CATI_FAS,001308,1,live
CATI_FAS,003282,0,spoof
CATI_FAS,011335,0,spoof
CATI_FAS,005610,0,spoof
CATI_FAS,005792,0,spoof
CATI_FAS,008415,0,spoof
CATI_FAS,014366,0,spoof
CATI_FAS,014188,0,spoof
CATI_FAS,008206,0,spoof
CATI_FAS,012194,0,spoof
CATI_FAS,004337,0,spoof
CATI_FAS,004617,0,spoof
CATI_FAS,007335,0,spoof
CATI_FAS,001471,1,live
CATI_FAS,008080,0,spoof
CATI_FAS,000778,1,live
CATI_FAS,005361,0,spoof
CATI_FAS,004298,0,spoof
CATI_FAS,013691,0,spoof
CATI_FAS,008092,0,spoof
CATI_FAS,017151,0,spoof
CATI_FAS,009042,0,spoof
CATI_FAS,006014,0,spoof
CATI_FAS,016157,0,spoof
CATI_FAS,006769,0,spoof
CATI_FAS,003143,0,spoof
CATI_FAS,015744,0,spoof
CATI_FAS,005711,0,spoof
CATI_FAS,013577,0,spoof
CATI_FAS,008282,0,spoof
CATI_FAS,007961,0,spoof
CATI_FAS,011965,0,spoof
CATI_FAS,004361,0,spoof
CATI_FAS,017105,0,spoof
CATI_FAS,006449,0,spoof
CATI_FAS,000954,1,live
CATI_FAS,009371,0,spoof
CATI_FAS,015967,0,spoof
CATI_FAS,011617,0,spoof
CATI_FAS,006649,0,spoof
CATI_FAS,003833,0,spoof
CATI_FAS,013983,0,spoof
CATI_FAS,017656,0,spoof
CATI_FAS,006439,0,spoof
CATI_FAS,004182,0,spoof
CATI_FAS,009242,0,spoof
CATI_FAS,004546,0,spoof
CATI_FAS,005311,0,spoof
CATI_FAS,006330,0,spoof
CATI_FAS,013595,0,spoof
CATI_FAS,005131,0,spoof
CATI_FAS,011074,0,spoof
CATI_FAS,011618,0,spoof
CATI_FAS,012362,0,spoof
CATI_FAS,003669,0,spoof
CATI_FAS,016574,0,spoof
CATI_FAS,001612,1,live
CATI_FAS,012737,0,spoof
