dataset,filename,label,folder
CATI_FAS,002579,0,spoof
CATI_FAS,017636,0,spoof
CATI_FAS,011239,0,spoof
CATI_FAS,007526,0,spoof
CATI_FAS,006729,0,spoof
CATI_FAS,014277,0,spoof
CATI_FAS,014062,0,spoof
CATI_FAS,001026,1,live
CATI_FAS,008342,0,spoof
CATI_FAS,016881,0,spoof
CATI_FAS,006888,0,spoof
CATI_FAS,003886,0,spoof
CATI_FAS,007548,0,spoof
CATI_FAS,016838,0,spoof
CATI_FAS,017689,0,spoof
CATI_FAS,007446,0,spoof
CATI_FAS,012340,0,spoof
CATI_FAS,012796,0,spoof
CATI_FAS,015438,0,spoof
CATI_FAS,016380,0,spoof
CATI_FAS,001822,1,live
CATI_FAS,004249,0,spoof
CATI_FAS,004280,0,spoof
CATI_FAS,001665,1,live
CATI_FAS,009384,0,spoof
CATI_FAS,009452,0,spoof
CATI_FAS,011251,0,spoof
CATI_FAS,001232,1,live
CATI_FAS,007444,0,spoof
CATI_FAS,008533,0,spoof
CATI_FAS,015698,0,spoof
CATI_FAS,017987,0,spoof
CATI_FAS,002552,0,spoof
CATI_FAS,012425,0,spoof
CATI_FAS,012427,0,spoof
CATI_FAS,010302,0,spoof
CATI_FAS,005825,0,spoof
CATI_FAS,003361,0,spoof
CATI_FAS,001434,1,live
CATI_FAS,014724,0,spoof
CATI_FAS,006102,0,spoof
CATI_FAS,006402,0,spoof
CATI_FAS,005445,0,spoof
CATI_FAS,012143,0,spoof
CATI_FAS,013982,0,spoof
CATI_FAS,008819,0,spoof
CATI_FAS,015369,0,spoof
CATI_FAS,002591,0,spoof
CATI_FAS,015045,0,spoof
CATI_FAS,004546,0,spoof
CATI_FAS,008613,0,spoof
CATI_FAS,001178,1,live
CATI_FAS,003239,0,spoof
CATI_FAS,014957,0,spoof
CATI_FAS,002248,0,spoof
CATI_FAS,004327,0,spoof
CATI_FAS,012012,0,spoof
CATI_FAS,015786,0,spoof
CATI_FAS,002091,0,spoof
CATI_FAS,013882,0,spoof
CATI_FAS,008170,0,spoof
CATI_FAS,014517,0,spoof
CATI_FAS,014772,0,spoof
CATI_FAS,016061,0,spoof
CATI_FAS,006763,0,spoof
CATI_FAS,007055,0,spoof
CATI_FAS,015150,0,spoof
CATI_FAS,017108,0,spoof
CATI_FAS,002946,0,spoof
CATI_FAS,006966,0,spoof
CATI_FAS,009478,0,spoof
CATI_FAS,004691,0,spoof
CATI_FAS,009392,0,spoof
CATI_FAS,001278,1,live
CATI_FAS,001510,1,live
CATI_FAS,004898,0,spoof
CATI_FAS,004116,0,spoof
CATI_FAS,002982,0,spoof
